Product Number,Company,Details,Price,Rating,Number of Ratings & Reviews,Link
75,PUMA,PUMA DISRIDE Casuals For Men,"₹1,650",4.1,"1,856 ratings and 119 reviews",https://www.flipkart.com/puma-disride-casuals-men/p/itme61bc4b420c05?pid=SHOGHQ8MCUNYHYFW&lid=LSTSHOGHQ8MCUNYHYFW7LDF9N&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_9_343&otracker=search&otracker1=search&fm=organic&iid=a765888a-3180-4751-9f84-e3efb45166ca.SHOGHQ8MCUNYHYFW.SEARCH&ppt=None&ppn=None&ssid=htyct9568w0000001741790511037&qH=12daa41359850f83
76,PUMA,SkateCat Ride Sneakers For Men,"₹2,280",4.1,858 ratings and 52 reviews,https://www.flipkart.com/puma-skatecat-ride-sneakers-men/p/itm4312f59fee0e1?pid=SHOH33SEP4P8R7VZ&lid=LSTSHOH33SEP4P8R7VZV79MLP&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_9_346&otracker=search&otracker1=search&fm=organic&iid=a765888a-3180-4751-9f84-e3efb45166ca.SHOH33SEP4P8R7VZ.SEARCH&ppt=None&ppn=None&ssid=htyct9568w0000001741790511037&qH=12daa41359850f83
77,PUMA,Coarse Sneakers For Men,"₹3,120",4.1,"5,983 ratings and 349 reviews",https://www.flipkart.com/puma-coarse-sneakers-men/p/itm3e0d4449877d8?pid=SHOGMYD2GNHG3HNW&lid=LSTSHOGMYD2GNHG3HNWQTGRZC&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_9_351&otracker=search&otracker1=search&fm=organic&iid=en_6irfpEEhf9lbI9cEg48TPFfkM2N2_LW6tVo3-iT-JaqkF6ptvwL-8AqxrPSj4Fp0y88jESOOcC75lgXQUmfViEKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=htyct9568w0000001741790511037&qH=12daa41359850f83
78,PUMA,Dwane IDP Casuals For Men,"₹1,007",4.2,"1,10,177 ratings and 11,365 reviews",https://www.flipkart.com/puma-dwane-idp-casuals-men/p/itmfhusexszywwkc?pid=SHOFHURJVE2GBXHH&lid=LSTSHOFHURJVE2GBXHHYGGLCE&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_10_363&otracker=search&otracker1=search&fm=organic&iid=5eaf2ad8-2f85-4b22-a421-9bec4f5e353c.SHOFHURJVE2GBXHH.SEARCH&ppt=None&ppn=None&ssid=nz756ksu340000001741790516453&qH=12daa41359850f83
79,PUMA,SkateCat Glide Sneakers For Men,"₹1,520",3.8,81 ratings and 3 reviews,https://www.flipkart.com/puma-skatecat-glide-sneakers-men/p/itm69b42c33cd13a?pid=SHOH33SEGFMG648F&lid=LSTSHOH33SEGFMG648FTOAOJ0&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_10_369&otracker=search&otracker1=search&fm=organic&iid=5eaf2ad8-2f85-4b22-a421-9bec4f5e353c.SHOH33SEGFMG648F.SEARCH&ppt=None&ppn=None&ssid=nz756ksu340000001741790516453&qH=12daa41359850f83
80,PUMA,Puma Ultragrip Walking Shoes For Men,"₹1,160",4.1,"2,895 ratings and 163 reviews",https://www.flipkart.com/puma-ultragrip-walking-shoes-men/p/itm2e4368a89b90d?pid=SHOGUTYC6M7JYUGZ&lid=LSTSHOGUTYC6M7JYUGZDAOPAQ&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_10_377&otracker=search&otracker1=search&fm=organic&iid=en_ejDLYD8m_aNLSr4uNVFmrDnkdIL2jCPfFf5j-SN_MqQNMf4n95dZhkFB5NKNmmdt64z6mnXDdUghqd__cgIuDQ%3D%3D&ppt=None&ppn=None&ssid=nz756ksu340000001741790516453&qH=12daa41359850f83
81,PUMA,Coarse Sneakers For Men,"₹2,280",4.1,"5,983 ratings and 349 reviews",https://www.flipkart.com/puma-coarse-sneakers-men/p/itm3e0d4449877d8?pid=SHOGMYD2GNHG3HNW&lid=LSTSHOGMYD2GNHG3HNWQTGRZC&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_10_382&otracker=search&otracker1=search&fm=organic&iid=en_ejDLYD8m_aNLSr4uNVFmrDnkdIL2jCPfFf5j-SN_MqRiWLZWKLmFPTXUZL51vK8yy88jESOOcC75lgXQUmfViIE8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=nz756ksu340000001741790516453&qH=12daa41359850f83
82,PUMA,Bazin Running Shoes For Men,"₹1,149",3.7,233 ratings and 9 reviews,https://www.flipkart.com/puma-bazin-running-shoes-men/p/itmea5ab40583a66?pid=SHOGUZFDG3ZFXHQE&lid=LSTSHOGUZFDG3ZFXHQELZ04IR&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_10_385&otracker=search&otracker1=search&fm=organic&iid=5eaf2ad8-2f85-4b22-a421-9bec4f5e353c.SHOGUZFDG3ZFXHQE.SEARCH&ppt=None&ppn=None&ssid=nz756ksu340000001741790516453&qH=12daa41359850f83
83,Ifah,Korean Lovely Girl White Korean Sneakers For Women Casuals For Women,₹699,No Rating,No Reviews,https://www.flipkart.com/ifah-korean-lovely-girl-white-sneakers-women-casuals/p/itmab26ed1e01d7b?pid=SHOH7XZAXM2YY9G4&lid=LSTSHOH7XZAXM2YY9G4UWGPSI&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_10_389&otracker=search&otracker1=search&fm=organic&iid=5eaf2ad8-2f85-4b22-a421-9bec4f5e353c.SHOH7XZAXM2YY9G4.SEARCH&ppt=None&ppn=None&ssid=nz756ksu340000001741790516453&qH=12daa41359850f83
84,PUMA,Turino II SD Casuals For Men,"₹1,007",4.2,374 ratings and 30 reviews,https://www.flipkart.com/puma-turino-ii-sd-casuals-men/p/itmf369454776328?pid=SHOHFYRCPEXXGCCF&lid=LSTSHOHFYRCPEXXGCCFZ6NIXX&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_10_394&otracker=search&otracker1=search&fm=organic&iid=5eaf2ad8-2f85-4b22-a421-9bec4f5e353c.SHOHFYRCPEXXGCCF.SEARCH&ppt=None&ppn=None&ssid=nz756ksu340000001741790516453&qH=12daa41359850f83
85,PUMA,BMW Motorsport Drift Cat 5 Ultra Motorsport Shoes For Men,"₹1,900",4.3,"1,689 ratings and 166 reviews",https://www.flipkart.com/puma-bmw-motorsport-drift-cat-5-ultra-shoes-men/p/itmfcytwzstvsznj?pid=SHOFCYGKK3YZYZSM&lid=LSTSHOFCYGKK3YZYZSMXLPWA0&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_10_398&otracker=search&otracker1=search&fm=organic&iid=en_ejDLYD8m_aNLSr4uNVFmrDnkdIL2jCPfFf5j-SN_MqQEXvTDxkeOgE1frrZ7n9H_AYEP1Pmi57ACg_NBFZP30onfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=nz756ksu340000001741790516453&qH=12daa41359850f83
