product_name,price,rating,number_of_reviews,product_url
Women's Imperial Red T-shirt,299,4.7,10 reviews,https://www.bewakoof.com/p/imperial-red-dark-navy-white-imperial-red-veck-varsity-rib-plain
Men's Black Joggers,1199,4.8,31 reviews,https://www.bewakoof.com/p/jet-black-cotton-jogger-pants
Mountain Is Calling Black Vest,419,N/A,N/A,https://www.bewakoof.com/p/bushirt-mountain-is-calling-black-vest
Plus Size Men's Stylish Striped Half Sleeve Casual Shirt,799,4.7,N/A,https://www.bewakoof.com/p/instafab-plus-size-men-stylish-striped-half-sleeve-blue-casual-shirts
Men's Green Stylish Full Sleeve Casual Shirt,999,5,N/A,https://www.bewakoof.com/p/instafab-plus-men-solid-stylish-full-sleeve-casual-shirts37
Men Solid Stylish New Trends Casual Spread Shirt,879,4.5,N/A,https://www.bewakoof.com/p/campus-sutra-mens-shirt-01-sumr21shrt-hhspr-m-pln-whdn
Men's Navy Blue Shorts,563,4.7,52 reviews,https://www.bewakoof.com/p/mens-plain-casual-short
Men's Blue Color Block Regular Fit Jacket,799,5,2 reviews,https://www.bewakoof.com/p/campus-sutra-mens-blue-color-block-jacket51
Men's Maroon Joggers,899,4.7,54 reviews,https://www.bewakoof.com/p/dark-maroon-mens-casual-jogger-pants-with-zipper-nr-plain
Men's Red Plus Size Vest,499,4.7,12 reviews,https://www.bewakoof.com/p/bold-red-mens-plain-vest-plus-size
Men's Blue Boxers,249,4.8,13 reviews,https://www.bewakoof.com/p/nebula-blue-plain-boxer-for-men
Men's Dark Maroon Casual Shorts,449,4.9,20 reviews,https://www.bewakoof.com/p/dark-maroon-casual-shorts-mens-plain-casual-shorts-nr
Men's Black Scuba Jacket,1499,4.8,9 reviews,https://www.bewakoof.com/p/black-scuba-block-jackets-aw-21
Men's Multicolor Color Block Puffer Jacket,999,4.9,14 reviews,https://www.bewakoof.com/p/deep-teal-color-block-puffer-jacket-aw-21
Men's Black My Bright Side Typography Hoodies,649,4.6,4 reviews,https://www.bewakoof.com/p/black-white-color-block-hoodie-sweatshirt-aw-21
Men's Red Puffer Jacket,1999,4.9,23 reviews,https://www.bewakoof.com/p/red-puffer-jacket-aw-21
Men's Blue Camo Puffer Jacket,1299,4.9,2 reviews,https://www.bewakoof.com/p/navy-reversible-camo-puffer-jacket-for-men
